Date,Open,High,Low,Close,Adj Close,Volume
2020-08-23,54.900002,56.099998,54.599998,56.099998,55.037498,1399236
2020-08-24,56.400002,56.599998,55.400002,55.700001,54.645077,2239510
2020-08-25,55.700001,56.000000,55.000000,55.000000,53.958336,1285251
2020-08-26,55.000000,55.500000,54.500000,54.599998,53.565910,654401
2020-08-27,54.900002,55.000000,54.500000,54.700001,53.664017,541958
2020-08-30,54.400002,55.200001,54.000000,55.200001,54.154549,382719
2020-08-31,55.200001,55.200001,53.700001,53.700001,52.682957,1076298
2020-09-01,54.000000,54.500000,53.099998,53.299999,52.290531,1136239
2020-09-02,53.700001,53.700001,52.900002,53.299999,52.290531,613606
2020-09-03,53.599998,54.000000,53.400002,54.000000,52.977272,595617
2020-09-06,53.700001,54.200001,53.400002,53.700001,52.682957,408763
2020-09-07,53.700001,54.400002,53.700001,54.099998,53.075378,515464
2020-09-08,54.299999,55.200001,54.099998,54.900002,53.860229,1046515
2020-09-09,54.400002,54.900002,54.299999,54.799999,53.762123,440570
2020-09-10,54.799999,54.900002,54.500000,54.900002,53.860229,622234
2020-09-13,54.799999,55.200001,54.700001,55.000000,53.958336,832478
2020-09-14,55.000000,55.599998,54.200001,55.400002,54.350761,1473568
2020-09-15,55.099998,55.299999,54.599998,54.599998,53.565910,527881
2020-09-16,54.900002,55.099998,54.200001,54.599998,53.565910,555701
2020-09-17,55.000000,55.200001,54.400002,55.200001,54.154549,853966
2020-09-20,55.200001,55.200001,54.799999,55.000000,53.958336,317265
2020-09-21,55.000000,55.000000,54.400002,54.400002,53.369698,351945
2020-09-22,54.000000,54.400002,53.799999,53.799999,52.781059,474490
2020-09-24,53.900002,54.299999,53.500000,54.000000,52.977272,396553
2020-09-27,54.099998,54.200001,53.700001,53.900002,52.879169,212198
2020-09-28,54.000000,54.299999,53.799999,53.799999,52.781059,407642
2020-09-29,53.900002,54.000000,53.099998,53.099998,52.094318,901311
2020-09-30,53.400002,53.500000,52.799999,52.900002,51.898109,676012
2020-10-01,53.000000,54.000000,52.900002,53.599998,52.584846,681760
2020-10-04,53.700001,54.299999,53.200001,53.500000,52.486744,654807
2020-10-05,54.000000,54.000000,53.000000,53.700001,52.682957,715846
2020-10-06,53.700001,53.799999,53.400002,53.799999,52.781059,326658
2020-10-07,53.900002,53.900002,53.500000,53.700001,52.682957,361103
2020-10-08,53.700001,53.700001,53.299999,53.700001,52.682957,527833
2020-10-11,53.700001,54.200001,53.299999,54.099998,53.075378,969768
